Neuron ID	Day to day continuity problem	Max_min_alpha problems
12_neuron2_before.npy',		0
12_neuron4_before.npy',		0
13_neuron1_before.npy',		0
13_neuron3_before.npy',		0
17_neuron3_before.npy',		0
17_neuron4_before.npy',		0
17_neuron5_before.npy',		0
17_neuron6_before.npy',		0
17_neuron7_before.npy',		0
24_neuron2_before.npy',		1
24_neuron3_before.npy',		1
27_neuron5_before.npy',		0
28_neuron1_before.npy',		0
32_neuron7_before.npy',		1
34_neuron11before.npy',		1
34_neuron1_before.npy',		0
34_neuron2_before.npy',		0
34_neuron4_before.npy',		1
34_neuron5_before.npy',		0
35_neuron1_before.npy',		0
36_neuron1_before.npy',		0
36_neuron3_before.npy',		0
36_neuron5_before.npy',		0
38_neuron2_before.npy',		0
41_neuron2_before.npy',		0
41_neuron3_before.npy',		0
41_neuron6_before.npy',		0
42_neuron2_before.npy',		0
42_neuron3_before.npy',		0
43_neuron2_before.npy',		0
46_neuron1_before.npy',		0
47_neuron3_before.npy',		0
48_neuron1_before.npy',		1
48_neuron6_before.npy',		0
51_neuron3_before.npy',		0
53_neuron4_before.npy',		1
54_neuron3_before.npy',		0
55_neuron8_before.npy',		1
57_neuron1_before.npy',		1
58_neuron2_before.npy',		1
58_neuron6_before.npy',		1
62_neuron1_before.npy',		0
62_neuron2_before.npy',		1
63_neuron2_before.npy',		0
63_neuron4_before.npy',		0
63_neuron5_before.npy',		1
63_neuron6_before.npy',		0
63_neuron8_before.npy',		0
65_neuron1_before.npy',		0
65_neuron2_before.npy',		0
66_neuron1_before.npy',		0
67_neuron5_before.npy',		0
68_neuron10before.npy',		0
68_neuron3_before.npy',		0
68_neuron4_before.npy',		0
68_neuron7_before.npy',		0
72_neuron14before.npy',		0
72_neuron2_before.npy',		0
72_neuron4_before.npy',		0
73_neuron1_before.npy',		1
74_neuron1_before.npy',		0
75_neuron1_before.npy',		0
77_neuron2_before.npy',		1
77_neuron8_before.npy',		0
77_neuron9_before.npy',		0
82_neuron4_before.npy',		1
83_neuron1_before.npy',		1
83_neuron3_before.npy',		0
84_neuron4_before.npy',		0
86_neuron2_before.npy',		0
