CycID,JTK_period,JTK_adjphase
12_neuron3_b.npy,49,19
12_neuron4_b.npy,56,41.5
12_neuron6_b.npy,43,29
12_neuron8_b.npy,42,27.5
13_neuron1_b.npy,50,7.5
13_neuron3_b.npy,50,7.5
17_neuron3_b.npy,43,7
17_neuron5_b.npy,42,31
17_neuron6_b.npy,45,28
17_neuron7_b.npy,48,16.5
21_neuron1_b.npy,56,35
24_neuron2_b.npy,43,27
24_neuron3_b.npy,44,27
26_neuron1_b.npy,53,17
27_neuron3_b.npy,49,11
27_neuron5_b.npy,56,47
28_neuron1_b.npy,46,18.5
32_neuron6_b.npy,56,46
32_neuron7_b.npy,43,29
33_neuron1_b.npy,54,52.5
33_neuron3_b.npy,49,31.5
34_neuron11b.npy,44,26
34_neuron1_b.npy,54,4
34_neuron2_b.npy,41,17.5
34_neuron5_b.npy,44,27.5
35_neuron1_b.npy,44,10
36_neuron3_b.npy,49,11.5
36_neuron5_b.npy,56,46
37_neuron2_b.npy,43,41
41_neuron2_b.npy,56,33
41_neuron4_b.npy,56,54
41_neuron7_b.npy,40,21
42_neuron3_b.npy,47,2
43_neuron2_b.npy,56,45.5
44_neuron1_b.npy,56,14
45_neuron1_b.npy,40,8.5
46_neuron1_b.npy,49,15
48_neuron6_b.npy,56,51
51_neuron10b.npy,45,18
51_neuron12b.npy,41,33
51_neuron3_b.npy,46,15.5
51_neuron5_b.npy,55,10.5
56_neuron1_b.npy,49,11.5
58_neuron2_b.npy,40,35.5
58_neuron6_b.npy,53,5
62_neuron1_b.npy,41,32.5
62_neuron2_b.npy,44,26.5
62_neuron3_b.npy,43,30
63_neuron6_b.npy,56,5
63_neuron7_b.npy,49,9
63_neuron8_b.npy,42,30.5
63_neuron9_b.npy,45,20
64_neuron2_b.npy,52,35
65_neuron2_b.npy,44,4.5
65_neuron4_b.npy,56,51.5
65_neuron5_b.npy,44,21.5
67_neuron2_b.npy,43,4.5
67_neuron3_b.npy,54,6
67_neuron4_b.npy,52,4
68_neuron10b.npy,56,42.5
68_neuron3_b.npy,56,34.5
68_neuron7_b.npy,51,12.5
68_neuron8_b.npy,56,14
72_neuron14b.npy,40,34
73_neuron1_b.npy,49,6.5
74_neuron1_b.npy,52,11
75_neuron1_b.npy,42,17
77_neuron2_b.npy,41,16
77_neuron6_b.npy,56,32
77_neuron8_b.npy,48,11.5
77_neuron9_b.npy,56,51.5
82_neuron5_b.npy,49,7.5
83_neuron1_b.npy,50,42
83_neuron3_b.npy,56,44.5
84_neuron1_b.npy,56,11
84_neuron4_b.npy,43,21
86_neuron2_b.npy,56,16
12_neuron1_b.npy,0,0
12_neuron2_b.npy,50,10.5
17_neuron2_b.npy,48,7.5
17_neuron4_b.npy,56,35
21_neuron3_b.npy,56,30
26_neuron4_b.npy,53,34.5
27_neuron1_b.npy,47,14.5
34_neuron10b.npy,56,20
34_neuron4_b.npy,45,30.5
34_neuron8_b.npy,48,11.5
34_neuron9_b.npy,40,22.5
35_neuron2_b.npy,50,13.5
36_neuron1_b.npy,56,11
37_neuron3_b.npy,40,26.5
38_neuron2_b.npy,53,46.5
41_neuron1_b.npy,44,27.5
41_neuron3_b.npy,51,31.5
41_neuron5_b.npy,40,7
41_neuron6_b.npy,56,55.5
41_neuron9_b.npy,56,9.5
42_neuron1_b.npy,53,29
42_neuron2_b.npy,52,16
42_neuron4_b.npy,48,16
47_neuron2_b.npy,40,0
47_neuron3_b.npy,56,48
48_neuron1_b.npy,48,27.5
48_neuron5_b.npy,47,18.5
51_neuron4_b.npy,55,13
53_neuron4_b.npy,49,9
54_neuron2_b.npy,40,3
54_neuron3_b.npy,56,42
55_neuron1_b.npy,49,19.5
55_neuron4_b.npy,56,7.5
55_neuron8_b.npy,45,34.5
57_neuron1_b.npy,50,14.5
63_neuron2_b.npy,40,7.5
63_neuron3_b.npy,49,13
63_neuron4_b.npy,56,8.5
63_neuron5_b.npy,56,10.5
65_neuron1_b.npy,55,1
66_neuron1_b.npy,54,13
66_neuron2_b.npy,48,19
67_neuron5_b.npy,56,39
68_neuron4_b.npy,51,11
72_neuron2_b.npy,52,21
72_neuron4_b.npy,49,7
77_neuron7_b.npy,56,7
82_neuron4_b.npy,56,17
