CycID,JTK_period,JTK_adjphase
17_neuron7_b.npy,40,6.5
31_neuron1_b.npy,43,14.5
32_neuron1_b.npy,48,12
45_neuron2_b.npy,47,9.5
48_neuron3_b.npy,56,7
53_neuron2_b.npy,55,35.5
54_neuron2_b.npy,56,37.5
56_neuron1_b.npy,42,10
71_neuron1_b.npy,52,2.5
12_neuron9_b.npy,56,49
17_neuron13b.npy,56,42
17_neuron14b.npy,56,45
17_neuron17b.npy,56,51
17_neuron1_b.npy,40,25.5
17_neuron2_b.npy,56,39.5
27_neuron4_b.npy,40,29
27_neuron5_b.npy,56,43.5
32_neuron2_b.npy,55,39
63_neuron1_b.npy,53,39.5
64_neuron3_b.npy,56,2
64_neuron8_b.npy,56,3
66_neuron1_b.npy,45,22.5
66_neuron2_b.npy,56,48
