CycID,JTK_period,JTK_adjphase
12_neuron1_b.npy,46,6
14_neuron1_b.npy,44,12
17_neuron1_b.npy,48,18
22_neuron3_b.npy,46,13
23_neuron2_b.npy,53,48.5
24_neuron1_b.npy,43,18.5
25_neuron1_b.npy,49,11
26_neuron1_b.npy,40,38
26_neuron2_b.npy,41,37
32_neuron1_b.npy,47,15
32_neuron5_b.npy,44,14.5
35_neuron1_b.npy,40,27.5
38_neuron3_b.npy,49,4
41_neuron1_b.npy,56,33.5
42_neuron1_b.npy,53,2.5
43_neuron1_b.npy,42,23
44_neuron2_b.npy,45,17.5
48_neuron1_b.npy,49,5
51_neuron1_b.npy,47,29.5
55_neuron1_b.npy,42,32.5
55_neuron2_b.npy,56,32
56_neuron2_b.npy,43,24.5
57_neuron2_b.npy,40,39
58_neuron1_b.npy,56,34.5
58_neuron2_b.npy,51,25.5
58_neuron3_b.npy,48,1.5
64_neuron1_b.npy,55,15.5
65_neuron1_b.npy,47,4.5
66_neuron4_b.npy,44,27.5
66_neuron5_b.npy,49,8.5
66_neuron9_b.npy,42,35.5
67_neuron1_b.npy,45,27
68_neuron1_b.npy,44,14.5
68_neuron4_b.npy,46,13.5
76_neuron1_b.npy,47,13.5
76_neuron2_b.npy,49,17
77_neuron1_b.npy,49,7
77_neuron2_b.npy,49,34
77_neuron3_b.npy,49,19
83_neuron1_b.npy,50,27.5
83_neuron2_b.npy,48,6
85_neuron1_b.npy,45,33
86_neuron3_b.npy,41,9.5
87_neuron1_b.npy,48,34.5
87_neuron4_b.npy,49,3
13_neuron2_b.npy,41,13
13_neuron3_b.npy,40,13.5
22_neuron1_b.npy,48,11
23_neuron1_b.npy,56,42
26_neuron4_b.npy,40,28
26_neuron5_b.npy,40,9
27_neuron2_b.npy,46,19
28_neuron2_b.npy,54,29
31_neuron2_b.npy,51,17
32_neuron9_b.npy,56,51.5
33_neuron4_b.npy,40,21
33_neuron5_b.npy,54,15
34_neuron6_b.npy,47,4
38_neuron2_b.npy,40,33
38_neuron4_b.npy,46,21
42_neuron4_b.npy,48,16
42_neuron5_b.npy,56,13.5
43_neuron3_b.npy,40,20
45_neuron2_b.npy,56,25
45_neuron3_b.npy,56,20.5
45_neuron4_b.npy,41,17.5
47_neuron1_b.npy,46,2
48_neuron3_b.npy,56,25
51_neuron2_b.npy,40,27
53_neuron1_b.npy,50,1
57_neuron1_b.npy,55,17
57_neuron6_b.npy,56,55
57_neuron7_b.npy,56,4.5
57_neuron9_b.npy,56,3
58_neuron7_b.npy,56,46
63_neuron2_b.npy,40,14
64_neuron2_b.npy,49,19.5
64_neuron5_b.npy,56,49.5
65_neuron3_b.npy,44,27.5
65_neuron5_b.npy,52,13
66_neuron11b.npy,46,24
66_neuron13b.npy,40,33.5
66_neuron1_b.npy,56,33.5
66_neuron3_b.npy,53,35.5
66_neuron7_b.npy,46,39.5
67_neuron4_b.npy,40,19
68_neuron2_b.npy,40,26.5
72_neuron4_b.npy,53,2
75_neuron10b.npy,56,53
75_neuron3_b.npy,56,10.5
76_neuron3_b.npy,46,17
78_neuron1_b.npy,52,15
78_neuron4_b.npy,51,10
85_neuron5_b.npy,47,31.5
85_neuron8_b.npy,41,28.5
86_neuron6_b.npy,40,31
87_neuron2_b.npy,48,12.5
87_neuron3_b.npy,40,30.5
