Neuron ID	Day to day continuity problem	Stable Rate Histogram
12_neuron1_before.npy',		
13_neuron2_before.npy',		
13_neuron3_before.npy',		0
22_neuron1_before.npy',		
22_neuron3_before.npy',		0
23_neuron2_before.npy',	x	0
26_neuron2_before.npy',		0
27_neuron2_before.npy',	x	0
28_neuron2_before.npy',		
31_neuron2_before.npy',		
32_neuron1_before.npy',		
32_neuron5_before.npy',		0
32_neuron9_before.npy',		
33_neuron5_before.npy',		
34_neuron6_before.npy',		0
38_neuron2_before.npy',	x	0
38_neuron4_before.npy',		0
41_neuron1_before.npy',		0
42_neuron4_before.npy',		0
42_neuron5_before.npy',		
43_neuron1_before.npy',		0
44_neuron2_before.npy',		
45_neuron2_before.npy',	x	0
45_neuron3_before.npy',		0
45_neuron4_before.npy',		
47_neuron1_before.npy',		
48_neuron1_before.npy',		
51_neuron1_before.npy',		
51_neuron2_before.npy',		
53_neuron1_before.npy',		
55_neuron1_before.npy',		0
55_neuron2_before.npy',		0
56_neuron2_before.npy',		0
57_neuron7_before.npy',		0
57_neuron9_before.npy',		0
58_neuron1_before.npy',		0
58_neuron3_before.npy',		0
58_neuron7_before.npy',		0
63_neuron2_before.npy',		
64_neuron1_before.npy',		0
64_neuron2_before.npy',	x	0
64_neuron5_before.npy',	x	0
65_neuron1_before.npy',		0
65_neuron3_before.npy',	x	0
65_neuron5_before.npy',		0
66_neuron11before.npy',	x	0
66_neuron13before.npy',	x	0
66_neuron4_before.npy',	x	0
66_neuron7_before.npy',	x	0
66_neuron9_before.npy',	x	0
67_neuron4_before.npy',		0
68_neuron4_before.npy',		0
75_neuron3_before.npy',		0
76_neuron1_before.npy',	x	0
76_neuron2_before.npy',		
76_neuron3_before.npy',		
77_neuron2_before.npy',		
77_neuron3_before.npy',		
78_neuron1_before.npy',		0
78_neuron4_before.npy',		0
83_neuron1_before.npy',		0
83_neuron2_before.npy',		
85_neuron8_before.npy',		0
87_neuron1_before.npy',		
87_neuron2_before.npy',		0
87_neuron4_before.npy'		
