CycID,JTK_period,JTK_adjphase
21_neuron4_b.npy,56,30
24_neuron2_b.npy,56,48.5
24_neuron5_b.npy,56,30
26_neuron5_b.npy,0,0
26_neuron7_b.npy,44,5
31_neuron4_b.npy,56,52.5
32_neuron3_b.npy,56,50
35_neuron1_b.npy,0,NA
37_neuron10b.npy,56,52
54_neuron4_b.npy,56,44
65_neuron5_b.npy,45,36
65_neuron8_b.npy,40,22
13_neuron3_b.npy,0,NA
21_neuron12b.npy,56,51.5
21_neuron1_b.npy,40,12
21_neuron2_b.npy,56,54
21_neuron3_b.npy,40,29
21_neuron9_b.npy,42,29.5
23_neuron2_b.npy,56,47.5
24_neuron11b.npy,44,23.5
24_neuron4_b.npy,55,29
24_neuron6_b.npy,51,21
24_neuron8_b.npy,56,47
25_neuron2_b.npy,56,17
25_neuron6_b.npy,41,8
25_neuron7_b.npy,0,0
26_neuron1_b.npy,48,10.5
26_neuron4_b.npy,48,1
26_neuron8_b.npy,56,51
31_neuron11b.npy,56,39.5
31_neuron9_b.npy,46,30.5
32_neuron4_b.npy,55,12
32_neuron5_b.npy,56,45
32_neuron9_b.npy,56,1.5
33_neuron1_b.npy,53,18.5
33_neuron2_b.npy,56,15
33_neuron3_b.npy,41,34
33_neuron5_b.npy,56,44.5
33_neuron6_b.npy,40,29.5
33_neuron7_b.npy,56,0.5
35_neuron2_b.npy,40,21
35_neuron4_b.npy,40,12
35_neuron6_b.npy,43,24.5
35_neuron7_b.npy,40,34
35_neuron9_b.npy,40,34.5
36_neuron10b.npy,56,17.5
36_neuron13b.npy,0,0
36_neuron3_b.npy,52,44
37_neuron12b.npy,44,26.5
38_neuron5_b.npy,56,9
44_neuron1_b.npy,40,3.5
44_neuron2_b.npy,56,4.5
46_neuron2_b.npy,56,49
54_neuron6_b.npy,56,11.5
54_neuron7_b.npy,47,20.5
54_neuron8_b.npy,56,6.5
56_neuron12b.npy,40,6
56_neuron17b.npy,49,42.5
56_neuron18b.npy,56,1
56_neuron19b.npy,56,0
56_neuron6_b.npy,56,4.5
63_neuron1_b.npy,45,34
63_neuron4_b.npy,50,11.5
65_neuron10b.npy,42,37
65_neuron11b.npy,42,24
65_neuron6_b.npy,48,32
65_neuron7_b.npy,42,20
72_neuron3_b.npy,40,36
76_neuron9_b.npy,56,15
78_neuron4_b.npy,53,39.5
82_neuron1_b.npy,46,19
83_neuron1_b.npy,50,11
83_neuron3_b.npy,40,31
85_neuron2_b.npy,53,13.5
