Neuron ID	Day to day continuity problem	Max_min_alpha problems
12_neuron1_before.npy',		1
14_neuron1_before.npy',	x	0
16_neuron1_before.npy',		1
17_neuron1_before.npy',		1
21_neuron1_before.npy',	x	0
21_neuron2_before.npy',		0
21_neuron3_before.npy',		0
22_neuron1_before.npy',		1
22_neuron2_before.npy',		0
23_neuron5_before.npy',	x	0
23_neuron7_before.npy',		0
24_neuron2_before.npy',		1
25_neuron1_before.npy',		0
27_neuron3_before.npy',		1
28_neuron1_before.npy',		1
28_neuron2_before.npy',	x	0
31_neuron1_before.npy',	x	0
31_neuron2_before.npy',	x	0
32_neuron4_before.npy',	x	0
32_neuron5_before.npy',	x	0
32_neuron7_before.npy',	x	0
37_neuron3_before.npy',		1
37_neuron4_before.npy',	x	0
37_neuron5_before.npy',		1
38_neuron4_before.npy',		0
41_neuron1_before.npy',		1
42_neuron2_before.npy',		0
44_neuron1_before.npy',		1
44_neuron2_before.npy',		0
46_neuron1_before.npy',	x	0
46_neuron3_before.npy',		1
46_neuron5_before.npy',		1
46_neuron6_before.npy',		1
47_neuron1_before.npy',		1
52_neuron2_before.npy',		1
52_neuron3_before.npy',		1
53_neuron2_before.npy',		1
55_neuron2_before.npy',		1
55_neuron3_before.npy',		1
55_neuron8_before.npy',		1
56_neuron2_before.npy',		1
56_neuron3_before.npy',	x	0
57_neuron11before.npy',		0
57_neuron12before.npy',		0
57_neuron13before.npy',		0
58_neuron4_before.npy',		0
58_neuron5_before.npy',		1
61_neuron3_before.npy',		0
65_neuron1_before.npy',		0
65_neuron2_before.npy',		1
65_neuron3_before.npy',		1
65_neuron6_before.npy',		1
66_neuron1_before.npy',		0
66_neuron3_before.npy',		0
67_neuron1_before.npy',		0
67_neuron2_before.npy',		0
68_neuron2_before.npy',		0
68_neuron3_before.npy',		0
74_neuron1_before.npy',		0
77_neuron4_before.npy',		1
84_neuron7_before.npy',		1
86_neuron2_before.npy		1
