CycID,JTK_period,JTK_adjphase
13_neuron3_b.npy,48,34
14_neuron1_b.npy,45,35
16_neuron1_b.npy,41,13.5
21_neuron1_b.npy,44,8.5
21_neuron2_b.npy,46,36.5
21_neuron3_b.npy,56,22.5
22_neuron1_b.npy,43,18
24_neuron2_b.npy,49,4.5
25_neuron1_b.npy,48,12.5
28_neuron1_b.npy,51,43
28_neuron2_b.npy,43,7
31_neuron1_b.npy,49,7
31_neuron2_b.npy,48,45.5
37_neuron4_b.npy,49,2.5
42_neuron2_b.npy,40,38
46_neuron3_b.npy,54,3.5
47_neuron1_b.npy,43,10
52_neuron2_b.npy,47,0
52_neuron3_b.npy,47,10.5
55_neuron2_b.npy,43,33
55_neuron3_b.npy,45,35
58_neuron4_b.npy,48,18.5
61_neuron3_b.npy,56,11
63_neuron1_b.npy,56,27.5
67_neuron1_b.npy,56,51
67_neuron2_b.npy,45,40
86_neuron2_b.npy,56,12.5
12_neuron1_b.npy,46,29
17_neuron1_b.npy,44,12.5
22_neuron2_b.npy,53,30.5
23_neuron5_b.npy,45,18
23_neuron7_b.npy,49,16.5
27_neuron3_b.npy,43,16
32_neuron3_b.npy,40,23
32_neuron4_b.npy,40,3
32_neuron5_b.npy,56,40.5
32_neuron7_b.npy,47,26.5
33_neuron2_b.npy,43,32
36_neuron2_b.npy,56,26.5
37_neuron3_b.npy,41,11
37_neuron5_b.npy,50,49.5
38_neuron4_b.npy,56,45
41_neuron1_b.npy,45,43.5
41_neuron2_b.npy,56,51.5
44_neuron1_b.npy,56,4.5
44_neuron2_b.npy,54,10
44_neuron3_b.npy,40,29
46_neuron1_b.npy,48,35.5
46_neuron5_b.npy,43,12
46_neuron6_b.npy,49,2
53_neuron2_b.npy,40,0
55_neuron8_b.npy,56,4.5
56_neuron2_b.npy,48,22.5
56_neuron3_b.npy,40,33.5
57_neuron11b.npy,44,26
57_neuron12b.npy,46,27
57_neuron13b.npy,56,4
58_neuron5_b.npy,46,5.5
65_neuron1_b.npy,56,12.5
65_neuron2_b.npy,40,8
65_neuron3_b.npy,53,51.5
65_neuron6_b.npy,46,33.5
65_neuron7_b.npy,40,1.5
66_neuron1_b.npy,43,28.5
66_neuron3_b.npy,49,31
68_neuron2_b.npy,46,23
68_neuron3_b.npy,56,41.5
74_neuron1_b.npy,56,3
74_neuron3_b.npy,56,52.5
77_neuron4_b.npy,49,34.5
84_neuron7_b.npy,47,13.5
86_neuron6_b.npy,41,33
