Neuron ID	Day to day continuity problem	Max_min_alpha problems
14_neuron2_before.npy',		0
17_neuron2_before.npy',		0
21_neuron1_before.npy',		0
22_neuron4_before.npy',		0
23_neuron1_before.npy',		0
23_neuron3_before.npy',		0
23_neuron4_before.npy',		0
24_neuron2_before.npy',		0
24_neuron3_before.npy',		0
25_neuron2_before.npy',		0
26_neuron1_before.npy',		0
26_neuron3_before.npy',		0
26_neuron4_before.npy',		0
26_neuron5_before.npy',		0
27_neuron2_before.npy',		0
28_neuron1_before.npy',		0
33_neuron2_before.npy',		0
33_neuron5_before.npy',		0
33_neuron9_before.npy',		0
34_neuron3_before.npy',		0
35_neuron1_before.npy',		0
35_neuron3_before.npy',	x	0
35_neuron4_before.npy',		1
35_neuron5_before.npy',		0
35_neuron7_before.npy',		0
36_neuron1_before.npy',		0
36_neuron2_before.npy',		0
36_neuron3_before.npy',		0
37_neuron1_before.npy',		1
41_neuron2_before.npy',		0
42_neuron4_before.npy',		0
43_neuron1_before.npy',		0
43_neuron2_before.npy',		0
43_neuron3_before.npy',		0
45_neuron1_before.npy',		0
48_neuron3_before.npy',		0
51_neuron1_before.npy',		0
51_neuron2_before.npy',		1
52_neuron3_before.npy',		0
52_neuron5_before.npy',		0
52_neuron6_before.npy',		0
54_neuron1_before.npy',		1
54_neuron4_before.npy',		0
55_neuron4_before.npy',		0
55_neuron5_before.npy',		0
57_neuron1_before.npy',		0
61_neuron2_before.npy',		0
61_neuron5_before.npy',		0
63_neuron2_before.npy',		1
63_neuron3_before.npy',		1
66_neuron1_before.npy',		1
66_neuron4_before.npy',		0
67_neuron2_before.npy',		0
67_neuron3_before.npy',		0
68_neuron1_before.npy',		1
71_neuron2_before.npy',		0
74_neuron2_before.npy',		0
75_neuron3_before.npy',		0
75_neuron4_before.npy',		1
75_neuron5_before.npy',		0
75_neuron6_before.npy',		0
76_neuron4_before.npy',		0
76_neuron6_before.npy',		0
82_neuron7_before.npy',		0
83_neuron3_before.npy',		1
83_neuron4_before.npy',		0
85_neuron5_before.npy',		0
87_neuron3_before.npy		0
